image_filename,id_cel,label,area,compacidade,excentricidade
02c7fb946ad5c5e5f9c1e1178c21fc92.png,7727,ASC-H,2351,0.6418,0.3029575314822571
0cc6e576dac3046d279bba515e10a7a9.png,131,ASC-H,909,0.67,0.7134440703433185
0f023f6ad3d33b33334016798995fe53.png,8156,ASC-H,5448,0.3189,0.4878154707559892
0f023f6ad3d33b33334016798995fe53.png,8157,ASC-H,4759,0.6787,0.3290155336581523
0f023f6ad3d33b33334016798995fe53.png,8158,ASC-H,6153,0.3639,0.3961175093166195
0f023f6ad3d33b33334016798995fe53.png,8159,ASC-H,3233,0.5538,0.7430251446982519
0f023f6ad3d33b33334016798995fe53.png,8160,ASC-H,5282,0.3623,0.42305086738296227
0f023f6ad3d33b33334016798995fe53.png,8161,ASC-H,6350,0.3948,0.6807691384582046
1a7a2ec67cefb1f11748edd2573291a8.png,9873,ASC-H,7675,0.3573,0.28220605606330706
1a7a2ec67cefb1f11748edd2573291a8.png,9874,ASC-H,5580,0.4881,0.29986368967125443
1a7a2ec67cefb1f11748edd2573291a8.png,9875,ASC-H,8475,0.3414,0.2089129526375908
1a7a2ec67cefb1f11748edd2573291a8.png,9876,ASC-H,7016,0.2894,0.3811118535893341
1a7a2ec67cefb1f11748edd2573291a8.png,9877,ASC-H,7852,0.6151,0.6102905867017857
1a7a2ec67cefb1f11748edd2573291a8.png,9878,ASC-H,9498,0.5667,0.7580876930174948
1a7a2ec67cefb1f11748edd2573291a8.png,9879,ASC-H,4651,0.6067,0.7326457593731737
1a7a2ec67cefb1f11748edd2573291a8.png,9880,ASC-H,8817,0.4343,0.6948333735556141
1a7a2ec67cefb1f11748edd2573291a8.png,9881,ASC-H,8331,0.5196,0.8485858191084519
1a7a2ec67cefb1f11748edd2573291a8.png,9882,ASC-H,6533,0.3652,0.1594952471492299
1a7a2ec67cefb1f11748edd2573291a8.png,9883,ASC-H,6322,0.2324,0.43237901229283016
1a7a2ec67cefb1f11748edd2573291a8.png,9884,ASC-H,6799,0.4512,0.8234084145994724
1a7a2ec67cefb1f11748edd2573291a8.png,9885,ASC-H,2893,0.6895,0.42715407712888076
1a7a2ec67cefb1f11748edd2573291a8.png,9886,ASC-H,6816,0.4132,0.73602692587686
1a7a2ec67cefb1f11748edd2573291a8.png,9887,ASC-H,8227,0.5009,0.47082835433212256
1a7a2ec67cefb1f11748edd2573291a8.png,9888,ASC-H,8157,0.3765,0.14705152372779184
1a7a2ec67cefb1f11748edd2573291a8.png,9889,ASC-H,5708,0.4511,0.7012655236646683
1a7a2ec67cefb1f11748edd2573291a8.png,9890,ASC-H,8381,0.3736,0.39284311674061334
1a7a2ec67cefb1f11748edd2573291a8.png,9891,ASC-H,5084,0.4055,0.09719531862048658
1a7a2ec67cefb1f11748edd2573291a8.png,9892,ASC-H,7476,0.3402,0.21802361703866524
1a7a2ec67cefb1f11748edd2573291a8.png,9893,ASC-H,8965,0.4662,0.23009794056826804
1a7a2ec67cefb1f11748edd2573291a8.png,9894,ASC-H,8859,0.4875,0.20957091424531604
1a7a2ec67cefb1f11748edd2573291a8.png,9895,ASC-H,4103,0.2703,0.4883103778584308
1a7a2ec67cefb1f11748edd2573291a8.png,9896,ASC-H,5379,0.1276,0.41888680660861033
1a7a2ec67cefb1f11748edd2573291a8.png,9914,ASC-H,4906,0.2377,0.11330447648827613
27ce7facb22d6ed75c146a43d23e7dde.png,8138,ASC-H,2421,0.368,0.2776851701032538
27ce7facb22d6ed75c146a43d23e7dde.png,8139,ASC-H,3426,0.2523,0.5268013159832889
27ce7facb22d6ed75c146a43d23e7dde.png,8140,ASC-H,7226,0.3024,0.2732273159180174
27ce7facb22d6ed75c146a43d23e7dde.png,8141,ASC-H,1868,0.3089,0.5327840139324069
27ce7facb22d6ed75c146a43d23e7dde.png,8142,ASC-H,4320,0.1993,0.24903615176986882
27ce7facb22d6ed75c146a43d23e7dde.png,8143,ASC-H,3001,0.3092,0.227155620282131
27ce7facb22d6ed75c146a43d23e7dde.png,8144,ASC-H,6544,0.2237,0.42311744017033726
27ce7facb22d6ed75c146a43d23e7dde.png,8145,ASC-H,7898,0.3193,0.10838126248954283
27ce7facb22d6ed75c146a43d23e7dde.png,8146,ASC-H,4683,0.2754,0.17031200455486395
27ce7facb22d6ed75c146a43d23e7dde.png,8147,ASC-H,6248,0.1805,0.23797114651129736
27ce7facb22d6ed75c146a43d23e7dde.png,8148,ASC-H,6485,0.4879,0.5367803100759114
27ce7facb22d6ed75c146a43d23e7dde.png,8149,ASC-H,7339,0.5694,0.5807662804790847
27ce7facb22d6ed75c146a43d23e7dde.png,8150,ASC-H,7277,0.5341,0.8186611261495362
27ce7facb22d6ed75c146a43d23e7dde.png,8151,ASC-H,5533,0.4498,0.5202168858741278
27ce7facb22d6ed75c146a43d23e7dde.png,8154,ASC-H,3598,0.247,0.34015253214395424
28508d4d8bb189cedd8d6c79b8d529c9.png,9642,ASC-H,2601,0.2491,0.16953940749439922
28508d4d8bb189cedd8d6c79b8d529c9.png,9643,ASC-H,730,0.8077,0.7137500092900521
28508d4d8bb189cedd8d6c79b8d529c9.png,9644,ASC-H,3898,0.1896,0.5174226414568932
28508d4d8bb189cedd8d6c79b8d529c9.png,9645,ASC-H,5551,0.4458,0.8046893776279365
28508d4d8bb189cedd8d6c79b8d529c9.png,9646,ASC-H,4909,0.5181,0.6183132784196794
28508d4d8bb189cedd8d6c79b8d529c9.png,9647,ASC-H,6181,0.5643,0.16213189716032506
28508d4d8bb189cedd8d6c79b8d529c9.png,9648,ASC-H,3779,0.4005,0.15715159945265433
28508d4d8bb189cedd8d6c79b8d529c9.png,9649,ASC-H,8242,0.6751,0.4735610279061816
28508d4d8bb189cedd8d6c79b8d529c9.png,9650,ASC-H,3333,0.3608,0.5911345164208477
28508d4d8bb189cedd8d6c79b8d529c9.png,9651,ASC-H,5500,0.313,0.5224123696140279
28508d4d8bb189cedd8d6c79b8d529c9.png,9652,ASC-H,4801,0.5294,0.44844684172239624
28508d4d8bb189cedd8d6c79b8d529c9.png,9653,ASC-H,3638,0.2825,0.33570199448331994
28508d4d8bb189cedd8d6c79b8d529c9.png,9654,ASC-H,1436,0.9177,0.300537297384186
