image_filename,id_cel,label,area,compacidade,excentricidade
008df697b9283d9ad4774096584d2efb.png,5421,Negativo,392,0.9094,0.08930418182845556
008df697b9283d9ad4774096584d2efb.png,5423,Negativo,1606,0.8681,0.5081825648727413
008df697b9283d9ad4774096584d2efb.png,5424,Negativo,318,0.6269,0.7872006642542255
008df697b9283d9ad4774096584d2efb.png,5425,Negativo,1048,0.795,0.4420696734406927
00b1e59ebc3e7be500ef7548207d44e2.png,3051,Negativo,2113,0.467,0.38975530685842263
00b1e59ebc3e7be500ef7548207d44e2.png,3052,Negativo,1488,0.7356,0.673372646926877
00b1e59ebc3e7be500ef7548207d44e2.png,3053,Negativo,1107,0.8846,0.34155972774270527
00b1e59ebc3e7be500ef7548207d44e2.png,3054,Negativo,1001,0.9295,0.12388896642747049
00b1e59ebc3e7be500ef7548207d44e2.png,3055,Negativo,979,0.8926,0.32122898030688474
00b1e59ebc3e7be500ef7548207d44e2.png,3056,Negativo,864,0.8711,0.48204809455495234
00b1e59ebc3e7be500ef7548207d44e2.png,3057,Negativo,1102,0.8842,0.33828396021805407
00b1e59ebc3e7be500ef7548207d44e2.png,3058,Negativo,686,0.9271,0.4532144747802551
00b1e59ebc3e7be500ef7548207d44e2.png,3059,Negativo,8693,0.7189,0.328893404109045
00b1e59ebc3e7be500ef7548207d44e2.png,3060,Negativo,927,0.8838,0.4255037944692862
00b1e59ebc3e7be500ef7548207d44e2.png,3061,Negativo,772,0.8733,0.5127042585801602
00b1e59ebc3e7be500ef7548207d44e2.png,3062,Negativo,3463,0.1466,0.4578508260999219
00b1e59ebc3e7be500ef7548207d44e2.png,3063,Negativo,770,0.9179,0.16428126864149084
00b1e59ebc3e7be500ef7548207d44e2.png,3064,Negativo,1309,0.5076,0.7503311521951863
00b1e59ebc3e7be500ef7548207d44e2.png,3065,Negativo,1077,0.7673,0.5794171021747359
00b1e59ebc3e7be500ef7548207d44e2.png,3066,Negativo,1405,0.8741,0.3392561153298965
00b1e59ebc3e7be500ef7548207d44e2.png,3067,Negativo,722,0.9183,0.21377918488290681
00b1e59ebc3e7be500ef7548207d44e2.png,3069,Negativo,4648,0.5176,0.936233739767911
011fda505d7e4af4b8cc57545343624d.png,4826,Negativo,298,0.8993,0.6306190156768156
011fda505d7e4af4b8cc57545343624d.png,4827,Negativo,809,0.911,0.2659904273872197
011fda505d7e4af4b8cc57545343624d.png,4828,Negativo,449,0.8008,0.7161847833344878
011fda505d7e4af4b8cc57545343624d.png,4829,Negativo,683,0.8569,0.526455757296008
011fda505d7e4af4b8cc57545343624d.png,4830,Negativo,344,0.6805,0.8660632212722192
011fda505d7e4af4b8cc57545343624d.png,4831,Negativo,431,0.919,0.43568649752211397
011fda505d7e4af4b8cc57545343624d.png,4832,Negativo,413,0.9644,0.28138745800938814
011fda505d7e4af4b8cc57545343624d.png,4833,Negativo,325,0.999,0.16022512712851977
011fda505d7e4af4b8cc57545343624d.png,4834,Negativo,425,0.9404,0.4742116051830574
011fda505d7e4af4b8cc57545343624d.png,4835,Negativo,706,0.8228,0.5549265070175982
011fda505d7e4af4b8cc57545343624d.png,4836,Negativo,1103,0.6588,0.5542533641759437
011fda505d7e4af4b8cc57545343624d.png,4837,Negativo,818,0.4308,0.6861966574071459
011fda505d7e4af4b8cc57545343624d.png,4838,Negativo,403,0.9238,0.36386823796809986
011fda505d7e4af4b8cc57545343624d.png,4839,Negativo,451,0.9272,0.27814206932751717
011fda505d7e4af4b8cc57545343624d.png,4840,Negativo,599,0.8212,0.7078807178011788
011fda505d7e4af4b8cc57545343624d.png,4841,Negativo,652,0.8577,0.4955989757900756
011fda505d7e4af4b8cc57545343624d.png,4842,Negativo,415,0.8354,0.6639958420541205
011fda505d7e4af4b8cc57545343624d.png,4845,Negativo,6214,0.224,0.3970450291307196
011fda505d7e4af4b8cc57545343624d.png,4846,Negativo,736,0.6778,0.7341817241016885
023fcddb41b212f8ac3edde190d4ae5c.png,7582,Negativo,633,0.9195,0.21645033057175156
023fcddb41b212f8ac3edde190d4ae5c.png,7583,Negativo,770,0.7279,0.2241975638853133
023fcddb41b212f8ac3edde190d4ae5c.png,7584,Negativo,7279,0.5369,0.629344865530173
023fcddb41b212f8ac3edde190d4ae5c.png,7585,Negativo,5647,0.5219,0.4647891059618975
023fcddb41b212f8ac3edde190d4ae5c.png,7586,Negativo,1585,0.5717,0.8681710108847042
023fcddb41b212f8ac3edde190d4ae5c.png,7587,Negativo,2691,0.2902,0.267889452343253
023fcddb41b212f8ac3edde190d4ae5c.png,7588,Negativo,518,0.8694,0.4815904546968398
023fcddb41b212f8ac3edde190d4ae5c.png,7589,Negativo,2077,0.3403,0.3203488025427431
023fcddb41b212f8ac3edde190d4ae5c.png,7590,Negativo,2771,0.3548,0.583026093943743
023fcddb41b212f8ac3edde190d4ae5c.png,7591,Negativo,418,0.9249,0.3461784455291681
023fcddb41b212f8ac3edde190d4ae5c.png,7592,Negativo,5452,0.2486,0.43186517658343127
023fcddb41b212f8ac3edde190d4ae5c.png,7593,Negativo,1966,0.2238,0.2862857055922522
023fcddb41b212f8ac3edde190d4ae5c.png,7594,Negativo,3306,0.1448,0.6027477982162919
023fcddb41b212f8ac3edde190d4ae5c.png,7595,Negativo,533,0.8546,0.5953672074414718
023fcddb41b212f8ac3edde190d4ae5c.png,7596,Negativo,1685,0.4014,0.8342240190982317
023fcddb41b212f8ac3edde190d4ae5c.png,7597,Negativo,693,0.6872,0.6087975984067447
02c6113a42960d9617990a3b291cf65d.png,3609,Negativo,1092,0.8646,0.5011759144539472
02c6113a42960d9617990a3b291cf65d.png,3610,Negativo,1338,0.6332,0.7300359835089538
02c6113a42960d9617990a3b291cf65d.png,3611,Negativo,247,0.8377,0.7361645784495521
02c6113a42960d9617990a3b291cf65d.png,3612,Negativo,3915,0.214,0.4416467282467271
02c6113a42960d9617990a3b291cf65d.png,3614,Negativo,379,0.929,0.38754135845274795
02c6113a42960d9617990a3b291cf65d.png,3615,Negativo,774,0.8878,0.4185903421913971
02c6113a42960d9617990a3b291cf65d.png,3616,Negativo,568,0.9128,0.5182073437949372
02c6113a42960d9617990a3b291cf65d.png,3617,Negativo,1970,0.9071,0.06401112473601966
02c6113a42960d9617990a3b291cf65d.png,3618,Negativo,1980,0.8281,0.46484406989401283
02c6113a42960d9617990a3b291cf65d.png,3619,Negativo,8694,0.3593,0.9823716489011065
02c6113a42960d9617990a3b291cf65d.png,3620,Negativo,3995,0.2273,0.7505139996246142
02c6113a42960d9617990a3b291cf65d.png,3621,Negativo,9265,0.5324,0.8389493720663269
02c6113a42960d9617990a3b291cf65d.png,3622,Negativo,624,0.6098,0.6459989665199918
02c6113a42960d9617990a3b291cf65d.png,3623,Negativo,2200,0.3029,0.8406326744496115
02c6113a42960d9617990a3b291cf65d.png,3624,Negativo,4434,0.1739,0.6032218645117025
02c6113a42960d9617990a3b291cf65d.png,3625,Negativo,8172,0.2888,0.4262618231910086
02c6113a42960d9617990a3b291cf65d.png,3626,Negativo,715,0.8036,0.39682166232804417
02c6113a42960d9617990a3b291cf65d.png,3627,Negativo,4203,0.4116,0.5610978576609874
02c6113a42960d9617990a3b291cf65d.png,3628,Negativo,935,0.8951,0.36077268332959966
02c6113a42960d9617990a3b291cf65d.png,3629,Negativo,836,0.8935,0.417007431015175
02c6113a42960d9617990a3b291cf65d.png,3630,Negativo,4020,0.3879,0.8966058395687588
02c6113a42960d9617990a3b291cf65d.png,3631,Negativo,5253,0.1844,0.5678486912034839
02c6113a42960d9617990a3b291cf65d.png,3632,Negativo,2374,0.2905,0.5005473353850508
02c6113a42960d9617990a3b291cf65d.png,3633,Negativo,4828,0.2383,0.49229642611225577
02c6113a42960d9617990a3b291cf65d.png,3634,Negativo,5745,0.1956,0.3557360363095511
02c6113a42960d9617990a3b291cf65d.png,3635,Negativo,3878,0.2388,0.45100551809933787
02c6113a42960d9617990a3b291cf65d.png,3636,Negativo,5960,0.2169,0.20995885998636554
02c6113a42960d9617990a3b291cf65d.png,3637,Negativo,1962,0.3928,0.8490240580269036
02c6113a42960d9617990a3b291cf65d.png,3638,Negativo,578,0.7827,0.7565990722957058
02c6113a42960d9617990a3b291cf65d.png,3639,Negativo,673,0.9254,0.4162826684493327
02c6113a42960d9617990a3b291cf65d.png,3640,Negativo,850,0.8257,0.44977606632403444
02c6113a42960d9617990a3b291cf65d.png,3641,Negativo,1153,0.548,0.6858161202309234
02c6113a42960d9617990a3b291cf65d.png,3642,Negativo,394,0.92,0.46101278065912876
02c7fb946ad5c5e5f9c1e1178c21fc92.png,7724,Negativo,239,0.9286,0.4552614986219854
03f5d5ec88161b9365bea549d7ce92cd.png,5268,Negativo,611,0.9221,0.46825913642402395
03f5d5ec88161b9365bea549d7ce92cd.png,5271,Negativo,1820,0.5588,0.5551646020749019
03f5d5ec88161b9365bea549d7ce92cd.png,5272,Negativo,2107,0.5757,0.58927295543058
03f5d5ec88161b9365bea549d7ce92cd.png,5273,Negativo,1137,0.8142,0.6460829654097531
040722a73af21747a3b66a8d69a235d0.png,5107,Negativo,457,0.9176,0.5227677745465875
040722a73af21747a3b66a8d69a235d0.png,5108,Negativo,343,0.9404,0.37100119424156575
040722a73af21747a3b66a8d69a235d0.png,5109,Negativo,309,0.8412,0.689469335700318
040722a73af21747a3b66a8d69a235d0.png,5110,Negativo,1778,0.8855,0.4158108180976895
040722a73af21747a3b66a8d69a235d0.png,5111,Negativo,322,0.8079,0.8154185876602258
040722a73af21747a3b66a8d69a235d0.png,5114,Negativo,618,0.9159,0.23355148691907235
040722a73af21747a3b66a8d69a235d0.png,5115,Negativo,265,0.9886,0.2884593137969461
0489736e8d880b5188b04d11c3131cd3.png,10512,Negativo,759,0.9006,0.44188190603684563
0489736e8d880b5188b04d11c3131cd3.png,10513,Negativo,702,0.9124,0.47684768684888423
0489736e8d880b5188b04d11c3131cd3.png,10514,Negativo,4340,0.2961,0.3809536835395788
0489736e8d880b5188b04d11c3131cd3.png,10515,Negativo,3904,0.4175,0.23687746503574147
0489736e8d880b5188b04d11c3131cd3.png,10516,Negativo,4678,0.5505,0.8005164991906296
0489736e8d880b5188b04d11c3131cd3.png,10517,Negativo,4982,0.3684,0.7310486950852821
0489736e8d880b5188b04d11c3131cd3.png,10518,Negativo,791,0.9448,0.33668851221232454
0489736e8d880b5188b04d11c3131cd3.png,10519,Negativo,2681,0.2706,0.7737403987401315
0489736e8d880b5188b04d11c3131cd3.png,10520,Negativo,239,0.9021,0.5619775486606422
0489736e8d880b5188b04d11c3131cd3.png,10521,Negativo,2262,0.5919,0.731164843568997
0489736e8d880b5188b04d11c3131cd3.png,10522,Negativo,213,0.9884,0.21542256118580072
0489736e8d880b5188b04d11c3131cd3.png,10523,Negativo,634,0.9001,0.4012740755570352
0489736e8d880b5188b04d11c3131cd3.png,10524,Negativo,6027,0.6467,0.5976378018532336
0489736e8d880b5188b04d11c3131cd3.png,10525,Negativo,5113,0.5845,0.13130927995671693
0489736e8d880b5188b04d11c3131cd3.png,10526,Negativo,7016,0.4232,0.5118929390345026
0489736e8d880b5188b04d11c3131cd3.png,10527,Negativo,1880,0.4603,0.6753786035703858
0489736e8d880b5188b04d11c3131cd3.png,10528,Negativo,493,0.5681,0.5508389787187434
